profile,loss,n,k,interleave,dup,batch,success_rate,avg_unique,avg_kept,avg_dup_supp,mode,priority,max_part,beacons,beacon_sent,telemetry_from_session
light,0.05,22,17,1,1,1000,100.00,20.87,20.87,0.00,none,normal,1000000000,False,0,False
light,0.1,22,17,1,1,1000,98.10,19.84,19.84,0.00,none,normal,1000000000,False,0,False
